Authors,Dates
"['Kattamis C', 'Karambula K', 'Metaxotou-Mavromati A', 'Ladis V', 'Constantopoulos A']",1978-1-1
['Motulsky A G'],1977-1-1
['Infante P F'],1977-12-1
"['Ficken R W', 'Ficken M S', 'Hailman J P']",1978-1-1
"['Oie H K', 'Gazdar A F', 'Lalley P A', 'Russell E K', 'Minna J D', 'DeLarco J', 'Todaro G J', 'Francke U']",1978-7-6
"['Leinwand L A', 'Kozak C A', 'Ruddle F H']",1978-3-1
"['Minna J D', 'Bruns G A', 'Krinsky A H', 'Lalley P A', 'Francke U', 'Gerald P S']",1978-3-1
"['Tiemeier D C', 'Tilghman S M', 'Polsky F I', 'Seidman J G', 'Leder A', 'Edgell M H', 'Leder P']",1978-6-1
"['Hoefnagel D', 'Wuster-Hill D H', 'Dupree W B', 'Benirschke K', 'Fuld G L']",1978-6-1
"['Weil D', 'Van-Cong N', 'Rebourcet R', 'Frézal J']",1978-6-9
"['Obe G', 'Majewski F']",1978-7-12
['Lavappa K S'],1978-5-1
"['Pal K', 'Tierney B', 'Grover P L', 'Sims P']",1978-6-1
"['Karataev G I', 'Permogorov V I', 'Vologodskii A V', 'Frank-Kamenetskii M D']",1978-7-1
"['Wajntal A', 'Saldanha P H']",1978-3-1
"['Ioan D', 'Duca-Marinescu D', 'Cioltei A', 'Maximilian C']",1978-4-1
"['Speizer F E', 'Tishler P V']",1978-5-1
"['Alexander D S', 'Soudek D', 'Laraya P']",1978-1-1
['Sentein P'],1977-1-1
['Kuleshov N P'],1978-1-1
['Minna J'],1978-1-1
"['Pakstis A J', 'Polesky H F', 'Scarr S', 'Katz S H']",1978-8-31
"['Fryns J P', 'De Boeck K', 'Jaeken J', 'van den Berghe H']",1978-8-31
"['Harrison T J', 'Williams J F']",1978-7-1
"['Fleig I', 'Thiess A M']",1978-8-1
['Parker G A'],1978-7-6
"['Gadow E C', 'Matayoshi T']",1978-5-1
"['Miller J R', 'Brownlee G G']",1978-10-12
"['Bocian M', 'Mohandas T']",1978-8-1
"['Koch G A', 'Brown J A', 'Shows T B']",1978-5-1
"['Nakajima H', 'Ito K']",1978-1-1
"['Valenta M', 'Slechta V', 'Slechtová V', 'Kálal L']",1977-1-1
"['Kurnit D M', 'Karp L', 'Hoehn H']",1978-9-1
['Hornstein O P'],1978-10-26
"['Stolla R', 'Gropp A', 'Leidl W', 'Hofman N']",1978-10-1
['Feldmann A M'],1978-9-1
"['McKinley L M', 'Leatherman K D']",1978-9-1
['Kimura M'],1978-1-1
"['Evers K G', 'Thouet R', 'Haase W', 'Krüger J']",1978-12-1
"['Palmer K A', 'Denunzio A', 'Green S']",1978-9-1
"['Arenaz P', 'Vig B K']",1978-12-1
"['Cox R', 'Masson W K']",1978-12-7
"['Shapiro L R', 'Zemek L', 'Shulman M J']",1978-1-1
"['Kloepfer H W', 'Parisi P']",1978-1-1
"['Mitchell J T', 'Marino A A', 'Berger T J', 'Becker R O']",1978-1-1
"['Sutherland G R', 'Carter R F', 'Bauld R', 'Smith I I', 'Bain A D']",1978-10-1
['David T J'],1978-10-1
['Christian J C'],1978-1-1
"['Kucherlapati R', 'Tepper R', 'Granelli-Piperno A', 'Reich E']",1978-12-1
"['Scott J', 'Poffenbarger P L']",1979-1-1
"['Dewey W C', 'Sapareto S A', 'Betten D A']",1978-10-1
"['Bedford J S', 'Mitchell J B', 'Griggs H G', 'Bender M A']",1978-12-1
"['Mori H', 'Shiraishi T', 'Matsumoto K']",1978-11-1
"['Chakrabarti S', 'Chakrabarti A']",1978-10-15
"['Therman E', 'Denniston C', 'Sarto G E']",1978-12-18
"['Gedda L', 'Brenci G']",1978-9-1
"['Purrott R J', 'Reeder E J']",1978-11-1
['Jargiello P'],1978-11-1
['Thorgaard G H'],1978-9-1
"['Carr D H', 'Gedeon M M']",1978-9-1
"['Inui N', 'Nishi Y', 'Taketomi M']",1978-11-1
['Motulsky A G'],1979-4-19
"['Kaighn M E', 'Lechner J F', 'Narayan K S', 'Jones L W']",1978-12-1
['Fogh J'],1978-12-1
['Pétremand-Hyvärinen R'],1978-11-1
"['Gaubin Y', 'Kovalev E E', 'Planel H', 'Nevzgodina L V', 'Gasset G', 'Pianezzi B']",1979-2-1
"['Nehéz M', 'Selypes A', 'Páldy A', 'Berencsi G']",1978-12-1
"['Hart R G', 'Salisbury G W']",1979-5-15
"['Hoo J J', 'Parslow M I', 'Chambers D']",1979-4-5
"['Sutherland G R', 'Ashforth P L']",1979-4-17
"['Shiraishi Y', 'Minowada J', 'Sandberg A A']",1979-1-1
"['Wiśniewski L', 'Pronicka E', 'Lech H', 'Niezabitowska A']",1979-7-1
['Lindley M'],1979-8-23
"['Saumur J H', 'Coleman M L', 'Larson L M']",1979-7-1
['Check W A'],1979-9-1
"['Ashwood-Smith M J', 'Friedmann G B']",1979-4-1
"['Philip T', 'Fraisse J', 'Guibaud P', 'Lauras B', 'Philip I', 'Godet J', 'Robert J M']",1979-3-1
"['Rosenfeld R G', 'Luzzatti L', 'Hintz R L', 'Miller O J', 'Koo G C', 'Wachtel S S']",1979-7-1
['Tres L L'],1979-3-1
"['Herman R K', 'Madl J E', 'Kari C K']",1979-6-1
"['Merry A', 'Roger J H', 'Curnow R N']",1979-7-1
['Konopka R J'],1979-11-1
"['Meneely P M', 'Herman R K']",1979-5-1
"['Obe G', 'Beek B']",1979-1-1
"['Matsuura J S', 'Mayer M', 'Jacobs P A']",1979-11-1
['Kalmykova T P'],1979-11-1
['Fischer J'],1978-1-1
"['Chubykin V L', 'Lebedeva L I']",1979-1-1
"['Sobels F H', 'Parker D R']",1979-11-1
"['Pedersen C', 'Oláh E', 'Merrild U']",1979-1-1
"['Mueller-Eckhardt C', 'Mayr W', 'Lechner K', 'Mueller-Eckhardt G', 'Niessner H', 'Pralle H']",1979-10-1
"['Sorodoc Y', 'Aderca I', 'Cernescu C', 'Diaconiţá G H', 'Constantinescu O']",1979-7-1
['Yu C K'],1979-9-1
"['Roberts D B', 'Evans-Roberts S']",1979-11-1
['Boggs D R'],1979-1-1
"['Gedda L', 'Rossi C', 'Brenci G']",1979-1-1
"['Sarna S', 'Kaprio J']",1979-1-1
['Allen G'],1979-1-1
"['DeWolf W C', 'Lange P H', 'Einarson M E', 'Yunis E J']",1979-1-18
['Kloepfer H W'],1979-1-1
"['de Wilde A G', 'Amesz-Voorhoeve W H']",1979-1-1
"['Boltshauser E', 'Isler W']",1977-2-1
"['Schüssler J', 'Dehnhard F', 'Breinl H']",1977-7-8
"['Ludwig H', 'Schernthaner G', 'Mayr W R', 'Höfer R']",1977-6-1
"['Gustavson K H', 'Hagberg B', 'Hagberg G', 'Sars K']",1977-8-1
"['Titenko N V', 'Evsikov V I']",1977-1-1
"['Hansen A', 'Brask B H', 'Nielsen J', 'Rasmussen K', 'Sillesen I']",1977-9-1
"['Neves M H', 'Brites V L', 'Andrade A T', 'Guerra M O']",1977-5-1
"['Okada Y', 'Watanabe K', 'Takeuchi T', 'Hata T', 'Mikam H']",1977-10-1
"['Gilbert L A', 'Dudley A W', 'Meisner L', 'Viseskul C', 'de Venecia G']",1977-10-1
"['Röhrborn G', 'Basler A']",1977-9-21
['Gluckman P D'],1977-6-1
"['Bochkov N P', 'Kuleshov N P']",1977-1-1
"['Stepanov B I', 'Mostovnikov V A', 'Rubinov A N', 'Khokhlov I V']",1977-1-1
"['Breuker K H', 'Winkhaus-Schindl I', 'Citoler P']",1977-7-29
"['Schuhmann R', 'Knörr-Gärtner H', 'Geier G', 'Kraus H']",1977-7-29
"['Hellriegel K P', 'Diehl V', 'Krause P H', 'Meier S', 'Blankenstein M', 'Busche W']",1977-1-1
"['Mannucci P M', 'Coppola R', 'Lombardi R', 'Papa M', 'de Biasi R']",1978-4-30
"['Konietzko H', 'Haberlandt W', 'Heilbronner H', 'Reill G', 'Weichardt H']",1978-6-16
"['Van Den Berghe H', 'Parloir C', 'David G', 'Michaux J L', 'Sokal G']",1979-7-1
"['Fukuhara S', 'Rowley J D', 'Variakojis D', 'Golomb H M']",1979-8-1
"['Wick G', 'Gundolf R', 'Hála K']",1979-6-1
"['Pepper B', 'Farid N R']",1979-1-1
['Rosenthal D'],1977-1-1
"['Balcar-Boroń A', 'Sawa H', 'Slowik J', 'Marcinkowska A', 'Robińska E']",1977-10-1
"['Rudd N L', 'Youson B M']",1977-1-1
['Harlay A'],1977-2-1
"['Shaw K', 'Bloom A']",1977-6-30
['Fielding D W'],1977-5-1
"['Ahmad M', 'Skibinski D O', 'Beardmore J A']",1977-10-1
"['Boetius G', 'Hustinx T W', 'Smits A P', 'Scheres J M', 'Rutten F J', 'Haanen C']",1977-9-1
"['Goldman B', 'Mashiah S', 'Serr D M', 'Blankstein J', 'Chaki R', 'Navon R', 'Padeh B']",1977-11-1
"['Philip J', 'Bang J', 'Madsen M']",1977-10-29
"['Hytten F E', 'Harkness R A', 'Craford M']",1977-12-24
"['Trimble B K', 'Smith M E']",1977-9-1
"['Moukhtar M', 'Aleem F A', 'Hung H C', 'Sommers S C', 'Klinger H P', 'Romney S L']",1977-12-1
"['Watt J L', 'Page B M', 'Davidson R J']",1977-11-1
"['Soudek D', 'Sroka H']",1977-11-1
"['Pan S F', 'Fatora S R', 'Sorg R', 'Garver K L', 'Steele M W']",1977-11-1
"['Noel B', 'Benezech M']",1977-11-1
"['Volkov V V', 'Kochnev I G', 'Rybchin V N']",1977-1-1
"['Ivanov B', 'Todorov S', 'Mileva M', 'Georgieva I']",1977-1-1
"['Armendares S', 'Salamanca F']",1977-7-1
"['Ochi T', 'Umeda M']",1977-10-1
"['Krasovskii G I', 'Sokolovskii V V', 'Suskov I I', 'Varshavskaia S P']",1977-8-1
"['Rosenmann A', 'Segal S', 'Palti Z', 'Cohen M M']",1977-11-1
"['von Koskull H', 'Aula P']",1977-1-1
"['Pant G S', 'Kamada N']",1977-9-1
"['Old R W', 'Callan G H', 'Gross K W']",1977-1-1
"['Brunel D', 'Donnadio D', 'Emberger J M', 'Astruc J', 'Manassero J']",1977-10-1
"['Ash P', 'Vennart J', 'Carter C O']",1977-10-1
['Searle A G'],1977-10-1
['Evans H J'],1977-10-1
"['Wisniewski L', 'Higgins J V']",1977-10-1
"['Watson E J', 'Scrimgeour J B']",1977-10-1
['Forster D P'],1977-10-1
"['Brown N L', 'Smith M']",1977-10-15
"['Rusinowa F', 'Kaniasta M', 'Balcer-Boroniowa A', 'Marcinkowska A', 'Robińska E']",1977-11-1
['Knörr K'],1977-12-15
"['Zasukhina G D', 'Sinelschikova T A', 'Lvova G N', 'Kirkova Z S']",1977-11-1
"['Léonard A', 'Gerber G B', 'Decat G', 'Léonard E D']",1977-11-1
"['De Weerd-Kastelein E A', 'Keijzer W', 'Rainaldi G', 'Bootsma D']",1977-11-1
"['Takehisa S', 'Wolff S']",1977-11-1
['Galloway S M'],1977-12-1
"['Newton M F', 'Bahner B', 'Lilly L J']",1977-9-1
['Hope J'],1977-9-1
"['Evans L A', 'Kevin M J', 'Jenkins E C']",1977-9-1
"['Roberts G T', 'Rand M J']",1977-9-1
"['Tsuda H', 'Kato K']",1977-9-1
"['Bauchinger M', 'Dresp J', 'Schmid E', 'Englert N', 'Krause C']",1977-9-1
['Jones K W'],1977-7-14
"['Hotta Y', 'Chandley A C', 'Stern H']",1977-9-15
"['Breathnach R', 'Mandel J L', 'Chambon P']",1977-11-24
"['Shine J', 'Seeburg P H', 'Martial J A', 'Baxter J D', 'Goodman H M']",1977-12-8
['Savage J R'],1977-12-8
['Lönn U'],1977-12-15
"['Eigen M', 'Schuster P']",1977-11-1
"['Chaouat Y', 'Tormen J P', 'Godeau P', 'Camus J P', 'Kahn M F', 'Ryckewaert A', 'Laula J E', 'Menkes C J', 'Schmid M', 'Hors J']",1977-10-8
"['Nichols B P', 'Donelson J E']",1977-11-1
"['Jin S M', 'Ferrari I']",1977-1-1
"['Sandig K R', 'Theile H', 'Mücke J', 'Veit H']",1977-10-1
['Schmechta H'],1977-1-1
['Cohen M M'],1977-1-1
"['Schwanitz G', 'Schmid P', 'Hägele C', 'Daffner H W', 'Grosse K P']",1977-1-1
"['Schwanitz G', 'Hägele C', 'Schmid P']",1977-1-1
"['Shabtai F', 'Bichacho S', 'Halbrecht I']",1977-1-1
"['Fisher R A', 'Povey S', 'Bobrow M', 'Solomon E', 'Boyd Y', 'Carritt B']",1977-10-1
"['Satoh C', 'Ferrell R E', 'Tanis R J', 'Ueda N', 'Kishimoto S', 'Neel J V', 'Hamilton H B', 'Baba K']",1977-10-1
['Edwards A W'],1977-10-1
['Nei M'],1977-10-1
['Nagylaki T'],1977-10-1
"['Morton N E', 'Dick H M', 'Allan N C', 'Izatt M M', 'Hill R', 'Yee S']",1977-10-1
['Wade J O'],1977-12-1
"['Lechner R L', 'Kelly T J']",1977-12-1
"['Lueders K K', 'Kuff E L']",1977-12-1
"['Francke U', 'George D L', 'Brown M G', 'Riccardi V M']",1977-1-1
"['Brandham P E', 'Bhattarai S']",1977-12-6
"['Thomas R', 'Sharma A', 'Talukder G']",1977-12-1
"['Baĭrakova A K', 'Rupova I M', 'Vasilev G G']",1977-1-1
['Demin Iu S'],1977-1-1
"['Solovenchuk L L', 'Avanesova G P']",1977-1-1
"['Robinson L H', 'Landy A']",1977-9-1
"['Robinson L H', 'Landy A']",1977-9-1
['Shafer D A'],1977-11-10
"['Hutz M H', 'Yoshida A', 'Salzano F M']",1977-11-10
"['Stöhlmacher P', 'Haferland W']",1977-12-23
"['Meytes D', 'Akstein E', 'Modan B']",1977-12-1
['Aguado P'],1977-9-1
"['van Loghem E', 'de Lange G', 'Matsumoto H', 'Miyazaki T', 'Ohkura K']",1977-12-1
"['Leslie J F', 'Vrijenhoek R C']",1977-9-1
"['Deknudt G', 'Manuel Y', 'Gerber G B']",1977-12-1
"['Kamihira S', 'Tomonaga Y', 'Tagawa M', 'Sadamori N', 'Nonaka M', 'Kinoshita K', 'Itchimaru M', 'Tomonaga A', 'Kono S', 'Matsuo T']",1977-11-1
"['Gorizontova M N', 'Sokolov V V']",1977-12-1
"['Bradshaw E', 'Angus D']",1977-10-15
"['Ferrante E', 'Boscherini B', 'Bruni L', 'Vignetti P', 'Finocchi G']",1977-11-17
"['Womack J E', 'Eicher E M']",1977-10-24
"['Wilson G G', 'Tanyashin V I', 'Murray N E']",1977-11-14
"['Tarrant G M', 'Holliday R']",1977-11-18
"['Magda O', 'Péter K', 'Edit B', 'Endre C']",1977-12-25
"['Muramatsu S', 'Maruyama T']",1977-10-25
"['Abilov A N', 'Tokarev Iu N']",1977-12-1
['Chase G A'],1977-1-1
"['Waĭnson A A', 'Shmakova N L', 'Meshcherikova V V', 'Fadeeva T A', 'Iarmonenko S P']",1977-11-1
"['Totseva A', 'Dermendzhiev E']",1977-11-1
['Seger J'],1977-12-1
"['Doyle D V', 'Glass J S', 'Gow P J', 'Daker M', 'Grahame R']",1977-11-1
"['Worton R G', 'Ho C C', 'Duff C']",1977-1-1
"['Kao F T', 'Jones C', 'Puck T T']",1977-7-1
"['George D L', 'Francke U']",1977-11-1
['Slatkin M'],1977-12-1
"[""O'Donald P""]",1977-12-1
"['Steelman J R', 'Schreiner C A']",1977-12-1
['Grumet F C'],1977-12-1
"['Dupont B', 'Hansen J A', 'Braun D W', 'Reinsmoen N', 'Yunis E Y']",1977-12-1
"['Braun W E', 'Ronan J', 'Schacter B', 'Gardin J', 'Isner J', 'Grecek D']",1977-12-1
"['Buchanan R', 'Kraag G', 'Rosenthal D', 'Singal D P']",1977-12-1
"['Aĭrapetian L G', ""Sevan'kaev A V""]",1977-9-1
"['Raffetto G', 'Parodi S', 'Parodi C', 'De Ferrari M', 'Troiano R', 'Brambilla G']",1977-11-1
"[""Katsnel'son L A"", 'Trutneva K V', 'Panteleeva O A', 'Miliavskaia T I', 'Musnitskaia E N']",1977-11-1
"['Andzhaparidze O G', 'Shvetsova T P', 'Vostrova N G', 'Andreeva E N', 'Stepanova L G']",1977-11-1
"['Sugiura S', 'Tanabe Y', 'Ota K']",1977-1-1
"['Barua D', 'Paguio A S']",1977-9-1
"['Ehrman L', 'Anderson W', 'Blatte L']",1977-11-1
"['Deknudt G', 'Léonard A']",1977-1-1
"['Brewen J G', 'Payne H S']",1977-12-1
"['Mitchell J A', 'Simmons M J']",1977-12-1
"['Basler A', 'Brucklacher M', 'Nobis F', 'Röhrborn G']",1977-12-29
['Roychoudhury A K'],1977-12-29
"['Puri R K', 'Khanna K K', 'Bhargava I', 'Balakrishnan S']",1977-6-1
"['Furukawa T', 'Toyokura Y']",1977-12-1
"['Schinzel A', 'Auf der Maur P', 'Moser H']",1977-12-1
"['Hamers A J', 'van Kempen C']",1977-12-1
"['Wisniewski L', 'Purdy G', 'Hassold T', 'Wilson C', 'Bentley K', 'Hackel E', 'Higgins J V']",1977-12-1
"['Abuelo D', 'Perl D P', 'Henkle C', 'Richardson A']",1977-12-1
"['Lambert D', 'Nivelon-Chevallier A', 'Chapuis J L']",1977-12-1
"['Lin C C', 'Holman G', 'Sewell L', 'Bowen P', 'Biederman B']",1977-12-1
['Imamura T'],1977-9-1
"['Oka S', 'Nakagome Y', 'Teramura F', 'Hosono F', 'Katumata M']",1977-9-1
"['De Marchi M', 'Zuffardi O', 'Carozzi F', 'Schmid W', 'Carbonara A O']",1977-7-1
"['Willecke K', 'Teber T', 'Kucherlapati R S', 'Ruddle F H']",1977-5-1
"['De Bruyere M', 'Kulakowski S', 'Malchaire J', 'Delire M', 'Sokal G']",1977-11-1
"['Kallak H', 'Järvekülg L']",1977-1-1
"['Carmichael A', 'Addy D P', 'Shortland-Webb W R', 'Cameron A H', 'Davies I C']",1977-12-1
"['Battin J', 'Channarond J', 'Génaudeau J', 'Ruffié M']",1977-11-1
"['Jalbert P', 'Sèle B', 'Bachelot C', 'Bost M']",1977-11-1
"['Malcolm S', 'Williamson R', 'Boyd E', 'Ferguson-Smith M A']",1977-1-1
['Yosida T H'],1977-1-1
"['Benn P', 'Chern C J', 'Bruns G', 'Craig I W', 'Croce C M']",1977-1-1
"['Greaves J H', 'Redfern R', 'Ayres P B', 'Gill J E']",1977-12-1
['Yanase T'],1977-12-1
"['Bremer H', 'Churchward G']",1977-12-21
"['Forster D P', 'Davison C M']",1977-9-1
"['Prieto García F', 'Badía Garrabou L', 'Ferrer Calvette J']",1977-12-1
['Simonsen M'],1977-1-1
['Nordenson I'],1977-1-1
"['Narang S', 'Bhalla S C', 'Narang N', 'Tavares-Souza M']",1977-12-24
"['Coulondre C', 'Miller J H']",1977-12-15
"['Schmeissner U', 'Ganem D', 'Miller J H']",1977-12-15
"['Zajaczek S', 'Solecka L']",1977-1-1
['Avellán L'],1977-1-1
"['Taylor K M', 'Francke U', 'Brown M G', 'George D L', 'Kaufhold M']",1977-1-1
"['Trunca C', 'Opitz J M']",1977-1-1
['Honea K L'],1977-10-1
"['Sforza M', 'Perelli Ercolini M', ""D'Alessandro G""]",1977-10-1
['Käfer E'],1977-12-1
"['Atkin N B', 'Baker M C']",1977-1-1
"['Evsikov V I', 'Morozova L M']",1977-1-1
"['Vasantha-valli V', 'Padma T']",1977-12-1
['Nicholls E M'],1977-12-3
['Connon A F'],1977-12-10
"['Claussen C P', 'Zimmermann U']",1977-1-1
"['Henze K', 'Wallmüller A', 'Barth C', 'Wolfram G', 'Zöllner N']",1977-4-17
"['Anthonioz P', 'Afoutou J M']",1977-1-1
"['Kirpichnikova T P', 'Kozyrev D P', 'Mishchenko B S', 'Rybchin V N']",1977-1-1
"['Chinenova T A', 'Lomovskaia N D', 'Novikova N L']",1977-1-1
"['Kulazhenko V P', 'Levchenko N N', 'Usoev S S', 'Zhukova T V']",1977-1-1
"['Pilinskaia M A', 'Zhurkov V S']",1977-1-1
"['Pyzhov A P', 'Shapiro N I', 'Khalizev A E']",1977-1-1
"['Serov O L', 'Zakiian S M', 'Kulichkov V A']",1977-1-1
"['Sukernik R I', 'Karafet T M', 'Osipova L P']",1977-1-1
"[""Giuffre' L"", 'Corso D', 'Cammarata M', 'Benigno V', ""Curcuru' M""]",1977-12-31
"['Kaur H', 'Sehajpal P K', 'Shrivastava P K']",1977-1-1
"['Bellotti G', 'Camargo P R', 'Pileggi F', 'Galiano N', 'Ramires J A', 'Checchi E', 'Ping W C', 'Décourt L V']",1977-12-1
"['Raju M R', 'Amols H I', 'Bain E', 'Carpenter S G', 'Dicello J F', 'Frank J P', 'Tobey R A', 'Walters R A']",1977-1-1
['Dzarlieva R'],1977-1-1
['Prodanov P'],1977-1-1
"['Prasad S K', 'Pandey R S', 'Shanker V', 'Nair K G', 'Nair P G']",1977-1-1
"['Takahara H', 'Ohama K', 'Fujiwara A']",1977-12-1
"['Dinić B', 'Stojimirović E', 'Garzicić B', 'Korać D', 'Ajdarić B']",1977-1-1
"['Hood L', 'Huang H V', 'Dreyer W J']",1977-1-1
"['Rodríguez Rivera L', 'Flores García R', 'Gutiérrez Calzado C', 'Betancourt Rovira A', 'Sánchez Castillo A']",1977-1-1
"['McLeod J G', 'Low P A']",1977-1-1
"['Jumkov V A', 'Nikonchik L I']",1977-1-1
"['Pignatti C B', 'Bianchi E', 'Polito E']",1977-11-1
['Eastwood M E'],1977-10-1
"['Pattee P A', 'Thompson N E', 'Haubrich D', 'Novick R P']",1977-11-1
"['Nosikov V V', 'Braga E A', 'Polianovskiĭ O L']",1977-9-1
"['Bogden A E', 'Kelton D E', 'Cobb W R', 'Gulkin T A', 'Johnson R K']",1978-1-1
['Donald L J'],1978-1-1
"['Malhotra K C', 'Chakraborty R', 'Chakravarti A']",1978-1-1
"['Altay C', 'Yetgin S', 'Ozsoylu S', 'Kutsal A']",1978-1-1
"['Bertin T', 'Harris J E', 'Ferrell R E', 'Schull W J']",1978-1-1
"['Fu T K', 'Jarvik L F', 'Yen F S', 'Matsuyama S S', 'Glassman A H', 'Perel J M', 'Maltiz S']",1978-1-1
"['Sharpe A H', 'Ramig R F', 'Mustoe T A', 'Fields B N']",1978-1-1
"['Girvitz S C', 'Rainbow A J']",1978-1-1
"['Dobelle Y', 'Herr H M', 'Ladda R L']",1978-1-1
"['Barbosa J', 'King R', 'Goetz F C', 'Noreen H', 'Yunis E J']",1978-1-1
"['Harkányi Z', 'Szollár J', 'Vigvári Z']",1978-1-1
"['Steven J D', 'Scrimgeour J B']",1978-2-4
"['Barinskiĭ I F', 'Deriabin P G', 'Skorikova A S', 'Khaletskaia E V', 'Skurkovich S V']",1978-1-1
"['Rao P M', 'Blake N M', 'Veerraju P']",1978-1-1
['Das-Chaudhuri A B'],1978-1-1
"['Lucarelli P', 'Scacchi R', 'Corbo R M', 'Palmarino R', 'Orsini M', 'Campea L', 'Carapella E', 'Pascone R']",1978-1-1
"['Maudlin I', 'Fraser L R']",1978-1-1
"['Fechheimer N S', 'Jaap R G']",1978-1-1
"['Falor W H', 'Ward R M']",1978-1-1
['Vnukova Z E'],1978-1-1
"['Williams G M', 'Tong C', 'Berman J J']",1978-1-1
['Hartley-Asp B'],1978-1-1
"['Tsuda H', 'Kato K', 'Matsumoto T', 'Yoshida D', 'Mizusaki S']",1978-1-1
"['Madle S', 'Obe G']",1978-1-1
"['Gaulden M E', 'Read C B']",1978-1-1
['Rönnbäck C'],1978-1-1
"['Barbosa J', 'Noreen H', 'King R', 'Yunis E J']",1978-2-23
['Chubareva L A'],1978-1-1
"['Baker M L', 'Dalrymple G V']",1978-2-1
"['Sutton J G', 'Burgess R']",1978-1-1
"['Rothe D J', 'Cederqvist L L', 'Zervoudakis I A', 'Fuchs F']",1978-1-1
"['Harris D J', 'Jazbi B']",1978-1-1
"['Say B', 'Wilsey C E']",1978-2-1
"['Go R C', 'Elston R C', 'Kaplan E B']",1978-1-1
"['Gerrard J W', 'Rao D C', 'Morton N E']",1978-1-1
['Dubbleby C R'],1978-1-1
[],1978-1-1
"['Zhurkov V S', 'Novakova Ia', 'Shram R Ia']",1978-1-1
"['Hasen J', 'Ross H', 'Boyar R M']",1978-1-1
"['Benabadji M', 'Merad F', 'Benmoussa M', 'Trabuchet G', 'Junien C', 'Dreyfus J C', 'Kaplan J C']",1978-1-19
"['Harada S', 'Agarwal D P', 'Goedde H W']",1978-1-19
"['Shiraishi Y', 'Sandberg A A']",1978-2-1
"['Léonard A', 'Léonard E D']",1978-1-1
"['Auerbach A D', 'Wolman S R']",1978-1-5
"['Pescia G', 'Juillard E']",1978-1-1
['Jotterand-Bellomo M'],1978-1-1
['Poretti G G'],1978-2-18
"['Minev M', 'Mikhaylov T', 'Kastelan A', 'Nyulassy S', 'Menzel G']",1978-1-1
"['Benjamin D', 'Zamir R', 'Gazit E', 'Pinkhas J', 'Yehoshua H']",1978-1-1
"['Scheibenreiter S', 'Frisch H']",1978-1-6
"['Koske-Westphal T', 'Pruszak-Seel R E', 'Niss R', 'Passarge E']",1978-1-1
['Fix A G'],1978-1-1
"['Scott E M', 'Wright R C']",1978-1-1
['Wilson S R'],1978-1-1
['Sturt E'],1978-1-1
"['Tachibana H', 'Wada A', 'Gotoh O', 'Takanami M']",1978-2-16
"['Olds-Clarke P', 'Becker A']",1978-2-1
"['Sonta S', 'Sandberg A A']",1978-1-1
['Vig B K'],1978-3-1
"['Geard C R', 'Povlas S F', 'Astor M B', 'Hall E J']",1978-3-1
"['Vogel W', 'Back E', 'Imm W']",1978-2-1
"['Hongell K', 'Knuutila S', 'Westermarck T']",1978-2-1
"['Huang C C', 'Furukawa M']",1978-2-1
"['Breuker K H', 'Winkhaus-Schindl I', 'Citoler P']",1978-1-1
"['Shcherbakov V P', 'Chirkov G P', 'Plugina L A', 'Kudriashova E A', 'Sizova S T']",1978-1-1
"['Truhaut R', 'Murray R']",1978-1-27
"['Hossfeld D K', 'Schmidt C G']",1978-2-15
"['Kung F C', 'Glaser D A']",1978-2-1
"['Benn P A', 'Harnden D G', 'Fairburn E A']",1978-1-1
"['Wake N', 'Takagi N', 'Sasaki M']",1978-1-1
"['Spiess E B', 'Ehrman L']",1978-3-9
['Taft L T'],1978-2-1
['Jones I H'],1978-3-9
"['Benham F J', 'Povey M S', 'Harris H']",1978-1-1
"['Turner B M', 'Smith M', 'Turner V S', 'Kucherlapati R S', 'Ruddle F H', 'Hirschhorn K']",1978-1-1
"['Mauff G', 'Bender K', 'Fischer B']",1978-1-1
"['Finerty S', 'Jarvis J E', 'Epstein M A', 'Trumper P A', 'Ball G', 'Giovanella B C']",1978-2-1
['Popp D M'],1978-1-1
['Russell E S'],1978-1-1
['Gencík A'],1978-3-1
"['Kádasi L', 'Ferák V', 'Gencík A', 'Demjén S']",1978-3-1
"['Batistoni R', 'Andronico F', 'Nardi I', 'Barsacchi-Pilone G']",1978-2-10
['Van Went G F'],1978-3-15
"['Self S G', 'Leamy L']",1978-1-1
['Herman R K'],1978-1-1
"['Buchinger R', 'Schroeder T M']",1978-3-23
['Niikawa N'],1978-11-1
['Feingold M'],1978-2-1
"['Fujimoto A', 'Towner J W', 'Turkel S B', 'Wilson M G']",1978-2-16
"['Welch S G', 'McGregor I A', 'Williams K']",1978-2-16
"['Kram D', 'Schneider E L']",1978-2-23
"['Greiner J', 'Schleiermacher E', 'Lenhard V', 'Kulapongs P', 'Vogel F']",1978-2-23
"['Knuutila S', 'Mäki-Paakkanen J', 'Kähkönen M', 'Hokkanen E']",1978-2-23
"['Stone K R', 'Mickey D D', 'Wunderli H', 'Mickey G H', 'Paulson D F']",1978-3-15
"['Rowley J D', 'de la Chapelle A']",1978-3-15
['Towner K J'],1978-2-1
"['Mace S E', 'Macintyre M N', 'Turk K B', 'Johnson W E']",1978-3-1
"['Ramirez J L', 'Dawid I B']",1978-2-15
"['Mathews M B', 'Pettersson U']",1978-2-25
['Doyle G G'],1978-1-20
['Eshel I'],1978-1-20
['Smith J M'],1978-1-20
